MESURE_TME,CNTER_NM,AGE_FLAG_NM,MESURE_PLACE_FLAG_NM,MESURE_AGE_CO,INPT_FLAG_NM,COAW_FLAG_NM,MESURE_DAY,SEXDSTN_FLAG_CD,MESURE_IEM_001_VALUE,MESURE_IEM_002_VALUE,MESURE_IEM_003_VALUE,MESURE_IEM_004_VALUE,MESURE_IEM_005_VALUE,MESURE_IEM_006_VALUE,MESURE_IEM_007_VALUE,MESURE_IEM_008_VALUE,MESURE_IEM_009_VALUE,MESURE_IEM_010_VALUE,MESURE_IEM_012_VALUE,MESURE_IEM_013_VALUE,MESURE_IEM_014_VALUE,MESURE_IEM_015_VALUE,MESURE_IEM_016_VALUE,MESURE_IEM_017_VALUE,MESURE_IEM_018_VALUE,MESURE_IEM_019_VALUE,MESURE_IEM_020_VALUE,MESURE_IEM_021_VALUE,MESURE_IEM_022_VALUE,MESURE_IEM_023_VALUE,MESURE_IEM_024_VALUE,MESURE_IEM_025_VALUE,MESURE_IEM_026_VALUE,MESURE_IEM_027_VALUE,MESURE_IEM_028_VALUE,MESURE_IEM_029_VALUE,MESURE_IEM_030_VALUE,MESURE_IEM_031_VALUE,MESURE_IEM_032_VALUE,MESURE_IEM_033_VALUE,MESURE_IEM_034_VALUE,MESURE_IEM_035_VALUE,MESURE_IEM_036_VALUE,MESURE_IEM_037_VALUE,MESURE_IEM_038_VALUE,MESURE_IEM_039_VALUE,MESURE_IEM_040_VALUE,MESURE_IEM_041_VALUE,MESURE_IEM_042_VALUE,MESURE_IEM_043_VALUE,MESURE_IEM_044_VALUE,MESURE_IEM_050_VALUE,MESURE_IEM_051_VALUE,MESURE_IEM_052_VALUE
"1","광산","유소년","출장","11","관리자","3등급","20240701","M","147.7","37.3",,"63",,,"14.5","14.8","38",,"10.6",,,,,,"17.1",,"63",,"180",,,,,,"39.7",,,,,,,,,,,,,,"0.43","31","7",,,
"1","사상","청소년","출장","16","관리자","참가","20240701","F","153.3","38.3","26.9",,"76","114","18.1","19.1",,"2","3","26.39","0.317","84.045","5","84.275","16.3",,"24",,"122",,,,,,"49.9",,"37.6",,,,,,,,,,,,,,,,,
"1","세종","청소년","출장","15","관리자","참가","20240701","M","166.6","96.3","43.5",,"74","118","30.3","37.8",,"40","1.8","18.6","0.477","52.297","12","52.849","34.7",,"13",,"199",,,,,,"39.3",,"30.7",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","참가","20240701","F","136.3","30.6",,"61.2",,,"9.1",,"7",,"9.4",,,,,,"16.5",,"57",,"125",,,,,,"29.7",,,,,,,,,,,,,,"0.45","11","0",,,
"1","사상","청소년","출장","15","관리자","참가","20240701","F","161.6","58.5","31.9",,"80","119","25.3","26.4",,"24","-25","21.6","0.445","57.226","7","57.548","22.4",,"17",,"157",,,,,,"45.1",,"33.0",,,,,,,,,,,,,,,,,
"1","세종","청소년","출장","16","관리자","참가","20240701","F","162","76.9","36.1",,"78","116","30.7","34.4",,"24","12.8","24.3","0.440","50.701","13","51.299","29.3",,"19",,"164",,,,,,"44.7",,"29.8",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","참가","20240701","F","146.1","31.9",,"64.5",,,"13.5","13.1","15",,"7.8",,,,,,"14.9",,"87",,"143",,,,,,"42.3",,,,,,,,,,,,,,"0.44","20","5",,,
"2","세종","청소년","출장","17","관리자","참가","20240701","M","166.5","77.1","32",,"73","115","27.7","30",,"41","-3.2","19.1","0.551","44.246","15","44.936","27.8",,"20",,"180",,,,,,"38.9",,"35.8",,,,,,,,,,,,,,,,,
"1","사상","청소년","출장","15","관리자","참가","20240701","M","174.6","52.2","12.6",,"74","116","42.1","45.6",,"44","9","17.8","0.609","58.426","11","58.932","17.1",,"21",,"192",,,,,,"87.4",,"41.5",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","참가","20240701","M","146.1","31.9",,"66",,,"21.3","23.7","65",,"3.8",,,,,,"14.9",,"111",,"200",,,,,,"74.3",,,,,,,,,,,,,,"0.45","17","14",,,
"2","광산","유소년","출장","12","관리자","1등급","20240701","F","150.5","36",,"58",,,"20.6","22.9","44",,"19.2",,,,,,"15.9",,"92",,"133",,,,,,"63.6",,,,,,,,,,,,,,"0.39","33","0",,,
"1","사상","청소년","출장","15","관리자","참가","20240701","M","176.9","87.6","33.3",,"81","122","42.9","43",,"32","-3","21.05","0.489","55.061","6","55.337","28.0",,"12",,"175",,,,,,"49.1",,"34.0",,,,,,,,,,,,,,,,,
"1","광산","유소년","출장","11","관리자","2등급","20240701","F","140.3","30.8",,"62",,,"14.5","16.5","32",,"13.4",,,,,,"15.6",,"51",,"160",,,,,,"53.6",,,,,,,,,,,,,,"0.44","17","0",,,
